event_id,family,year,era,measure,cost,stop_usd,rl,rs
NFP_2017-01-06,NFP,2017,2013-19,S1_ATR_D1,base,2.2302939269554893,-1.2912607460359722,-1.4253237932360692
CPI_2017-01-18,CPI,2017,2013-19,S1_ATR_D1,base,2.409582678636938,-0.2821136440043181,-0.21612711388448458
NFP_2017-02-03,NFP,2017,2013-19,S1_ATR_D1,base,2.3654555648616644,-1.4636085967661778,-1.549004409310889
NFP_2017-03-10,NFP,2017,2013-19,S1_ATR_D1,base,1.9992639712787177,-2.052440102432177,-1.5242457193138457
CPI_2017-03-15,CPI,2017,2013-19,S1_ATR_D1,base,2.02684774357589,-0.7062863278889217,0.19017962805632915
NFP_2017-04-07,NFP,2017,2013-19,S1_ATR_D1,base,1.807273532730199,-1.5345908905170094,-1.6491280628104272
NFP_2017-05-05,NFP,2017,2013-19,S1_ATR_D1,base,2.073939737936852,-1.5936438458371183,0.7735898351588077
CPI_2017-05-12,CPI,2017,2013-19,S1_ATR_D1,base,2.0436794975623225,0.29051639491803444,-1.5304638539118889
NFP_2017-06-02,NFP,2017,2013-19,S1_ATR_D1,base,1.9665926023345195,1.403031312496903,-1.9324332835835556
CPI_2017-06-14,CPI,2017,2013-19,S1_ATR_D1,base,1.9330559958653173,2.153307487679141,-1.5317901066154014
NFP_2017-07-07,NFP,2017,2013-19,S1_ATR_D1,base,1.8462207578557788,-1.2583698293471495,0.49764985909221354
CPI_2017-07-14,CPI,2017,2013-19,S1_ATR_D1,base,2.028797412132244,2.693616335135571,-2.1489075863014646
NFP_2017-08-04,NFP,2017,2013-19,S1_ATR_D1,base,1.7536172696795325,-2.4827598788393157,3.1575814721600515
CPI_2017-08-11,CPI,2017,2013-19,S1_ATR_D1,base,1.9052876395628051,1.9563371023890972,-1.348675678486725
NFP_2017-09-01,NFP,2017,2013-19,S1_ATR_D1,base,2.3280426942804335,2.855178243221336,-2.0087789461461387
CPI_2017-09-14,CPI,2017,2013-19,S1_ATR_D1,base,2.6133172745248663,-1.5919785326319331,2.0267937045504247
NFP_2017-10-06,NFP,2017,2013-19,S1_ATR_D1,base,2.183501881603204,-1.1872545986069094,-2.0459669339603996
CPI_2017-10-13,CPI,2017,2013-19,S1_ATR_D1,base,2.083676544218252,1.3755916233511698,-1.6097565667315021
NFP_2017-11-03,NFP,2017,2013-19,S1_ATR_D1,base,1.9602359906508142,1.539867911004886,-1.4822171992850182
CPI_2017-11-15,CPI,2017,2013-19,S1_ATR_D1,base,1.9204235280002282,-1.2193929963139114,0.7952667615931239
NFP_2017-12-08,NFP,2017,2013-19,S1_ATR_D1,base,2.042745041035329,0.1922705193795138,-1.560762741288659
CPI_2017-12-13,CPI,2017,2013-19,S1_ATR_D1,base,1.871047306573264,1.9411101938685855,-1.6745119105183182
NFP_2018-01-05,NFP,2018,2013-19,S1_ATR_D1,base,1.7390812792594503,2.353433130936099,-1.671968144719564
CPI_2018-01-12,CPI,2018,2013-19,S1_ATR_D1,base,1.9034648725101413,-1.3182016312655696,2.1024026015898234
NFP_2018-02-02,NFP,2018,2013-19,S1_ATR_D1,base,2.2156541080323957,-1.8683242050252071,1.8750398742018446
CPI_2018-02-14,CPI,2018,2013-19,S1_ATR_D1,base,2.591755555401731,-2.3887646298648324,2.315768548268684
NFP_2018-03-09,NFP,2018,2013-19,S1_ATR_D1,base,2.1590791103973888,0.22253397186152984,-2.939230674522107
CPI_2018-03-13,CPI,2018,2013-19,S1_ATR_D1,base,2.114790485617446,-1.254431594071411,-0.5827338492304298
NFP_2018-04-06,NFP,2018,2013-19,S1_ATR_D1,base,2.4861850408507475,-1.3966955568245518,-1.2297731463117256
CPI_2018-04-11,CPI,2018,2013-19,S1_ATR_D1,base,2.5249476819709873,0.27419023568023637,-0.6735521738307078
NFP_2018-05-04,NFP,2018,2013-19,S1_ATR_D1,base,1.9869660619233158,1.9713424275643487,-1.3905670322951833
CPI_2018-05-10,CPI,2018,2013-19,S1_ATR_D1,base,1.8927474637003967,1.271279817380109,-2.56573496630442
NFP_2018-06-01,NFP,2018,2013-19,S1_ATR_D1,base,1.757528143292556,-2.6824173587162172,2.222767251215392
CPI_2018-06-12,CPI,2018,2013-19,S1_ATR_D1,base,1.5110162041683621,0.21811599312477717,-1.2424904477006378
NFP_2018-07-06,NFP,2018,2013-19,S1_ATR_D1,base,1.6172096897373582,-0.4968542453703037,-2.176908487712324
CPI_2018-07-12,CPI,2018,2013-19,S1_ATR_D1,base,1.7191000606819853,-0.08868331953835151,-0.5540430843925035
NFP_2018-08-03,NFP,2018,2013-19,S1_ATR_D1,base,1.9618395641971587,0.6594667186913258,-1.369751201393007
CPI_2018-08-10,CPI,2018,2013-19,S1_ATR_D1,base,1.7991518364954828,-1.1985239134682777,-0.3219997824800937
NFP_2018-09-07,NFP,2018,2013-19,S1_ATR_D1,base,1.8014476000618336,-1.7239727371993763,0.7601405946823322
CPI_2018-09-13,CPI,2018,2013-19,S1_ATR_D1,base,1.8643330633792239,0.2855777277451653,-1.6851001903629026
NFP_2018-10-05,NFP,2018,2013-19,S1_ATR_D1,base,1.8688784445105828,0.6221696779773676,-1.2698741895015737
CPI_2018-10-11,CPI,2018,2013-19,S1_ATR_D1,base,2.014180666209814,0.3977174756161636,-1.511247328040156
NFP_2018-11-02,NFP,2018,2013-19,S1_ATR_D1,base,1.9567750405507984,-1.3818593317904457,0.17248387934508544
CPI_2018-11-14,CPI,2018,2013-19,S1_ATR_D1,base,1.9070296511131577,0.265273798813114,-0.9932278708378811
NFP_2018-12-07,NFP,2018,2013-19,S1_ATR_D1,base,1.526751990623132,1.7367093780030713,-1.7481395252091114
CPI_2018-12-12,CPI,2018,2013-19,S1_ATR_D1,base,1.5723673129414086,-0.41243712246015135,-0.6032322360007499
CPI_2019-01-11,CPI,2019,2013-19,S1_ATR_D1,base,2.07233616439051,0.1586532415201192,-0.8855788850934744
NFP_2019-02-01,NFP,2019,2013-19,S1_ATR_D1,base,1.5640841057020285,-1.7723739982354203,0.07663142893855095
NFP_2019-03-08,NFP,2019,2013-19,S1_ATR_D1,base,2.000475303813731,2.417534543305718,-1.486537646493695
CPI_2019-03-12,CPI,2019,2013-19,S1_ATR_D1,base,1.978475197677929,-0.08020916824566438,-1.3566972450050099
NFP_2019-04-05,NFP,2019,2013-19,S1_ATR_D1,base,1.9641930102651752,-0.26315031022860247,-1.3638568032773315
CPI_2019-04-10,CPI,2019,2013-19,S1_ATR_D1,base,1.916385752883543,0.25606039872797853,-1.3099082458858033
NFP_2019-05-03,NFP,2019,2013-19,S1_ATR_D1,base,1.563980277199033,-1.940362800120946,0.4691944397879654
NFP_2019-06-07,NFP,2019,2013-19,S1_ATR_D1,base,1.797975113461477,2.017978431867512,-2.8219105826399433
CPI_2019-06-12,CPI,2019,2013-19,S1_ATR_D1,base,2.083618861716578,0.9515483788462561,-1.243430791303948
NFP_2019-07-05,NFP,2019,2013-19,S1_ATR_D1,base,3.699190368406605,-1.275226882154711,1.9789987188881675
CPI_2019-07-11,CPI,2019,2013-19,S1_ATR_D1,base,3.8414008080164836,-1.4881143977662232,1.0856862791553605
NFP_2019-08-02,NFP,2019,2013-19,S1_ATR_D1,base,3.314448082287546,-1.6179755624046306,-0.780430387135398
CPI_2019-08-13,CPI,2019,2013-19,S1_ATR_D1,base,3.646618536387271,-1.2102536791172642,-0.0912718170762787
NFP_2019-09-06,NFP,2019,2013-19,S1_ATR_D1,base,3.6854850060105218,1.6239237143115084,-1.5535413902546247
CPI_2019-09-12,CPI,2019,2013-19,S1_ATR_D1,base,3.8447810026141727,-0.30452475685970853,-0.11985884233374193
NFP_2019-10-04,NFP,2019,2013-19,S1_ATR_D1,base,3.714372402845361,-1.1377277347749843,-1.4739891174634012
CPI_2019-10-10,CPI,2019,2013-19,S1_ATR_D1,base,3.6947949617795666,-0.3070370647722665,-0.21149725710996364
NFP_2019-11-01,NFP,2019,2013-19,S1_ATR_D1,base,2.3447821562642015,-1.6338974133544935,2.0958733786296273
NFP_2019-12-06,NFP,2019,2013-19,S1_ATR_D1,base,1.9304718197906356,-5.6761698811993675,-1.6719674262582835
CPI_2019-12-11,CPI,2019,2013-19,S1_ATR_D1,base,1.8856640524956911,-0.7748813995081382,-0.0605441885837201
NFP_2020-01-10,NFP,2020,2020-22,S1_ATR_D1,base,2.9339973742925185,1.7031998882427728,-1.7671508657196426
CPI_2020-01-14,CPI,2020,2020-22,S1_ATR_D1,base,3.1545406511662235,0.512158243832731,-1.0538383769981823
NFP_2020-02-07,NFP,2020,2020-22,S1_ATR_D1,base,2.7803773358529047,-1.839852970327328,0.5355440359834985
CPI_2020-02-13,CPI,2020,2020-22,S1_ATR_D1,base,2.6679426036035454,-0.3528273054783148,-0.285359587185972
NFP_2020-03-06,NFP,2020,2020-22,S1_ATR_D1,base,5.535397443972981,-2.0405162347101733,0.5824209883086129
CPI_2020-03-11,CPI,2020,2020-22,S1_ATR_D1,base,6.6028698198229305,-0.22903813663867068,-0.032608396935794065
NFP_2020-04-03,NFP,2020,2020-22,S1_ATR_D1,base,9.323926470961467,-0.36194531461719864,-0.4831388915420237
NFP_2020-05-08,NFP,2020,2020-22,S1_ATR_D1,base,4.795503995090059,-1.8408638610329249,0.20959840738927477
CPI_2020-05-12,CPI,2020,2020-22,S1_ATR_D1,base,4.493224613354182,-0.04799637644628153,-0.3825000190046585
NFP_2020-06-05,NFP,2020,2020-22,S1_ATR_D1,base,3.872710869921339,-1.2358797650435815,1.5661626193444889
CPI_2020-06-10,CPI,2020,2020-22,S1_ATR_D1,base,4.210222723675432,-0.4215534703234029,0.030441619936036533
NFP_2020-07-02,NFP,2020,2020-22,S1_ATR_D1,base,3.4297323301192604,-1.6414467538941968,0.007369962891267693
CPI_2020-07-14,CPI,2020,2020-22,S1_ATR_D1,base,3.0839026596247825,0.06227677109085256,-0.8456636891118884
NFP_2020-08-07,NFP,2020,2020-22,S1_ATR_D1,base,5.993177313702823,-1.2021973692529841,0.22367400960008918
CPI_2020-08-12,CPI,2020,2020-22,S1_ATR_D1,base,7.653591197188777,-0.6281479538345413,0.36484994795980535
NFP_2020-09-04,NFP,2020,2020-22,S1_ATR_D1,base,7.034738709803938,-0.5557889228424224,-1.5918615192336034
CPI_2020-09-11,CPI,2020,2020-22,S1_ATR_D1,base,5.6637294736817685,-0.13726917989511495,-0.2131908851951229
NFP_2020-10-02,NFP,2020,2020-22,S1_ATR_D1,base,4.878474505487906,-0.2549725326227269,-0.19962736279632876
CPI_2020-10-13,CPI,2020,2020-22,S1_ATR_D1,base,4.708322662070521,-0.11397739460871463,-0.3078893385276738
NFP_2020-11-06,NFP,2020,2020-22,S1_ATR_D1,base,4.297877053208634,-1.1797916592831161,0.49940946970500993
CPI_2020-11-12,CPI,2020,2020-22,S1_ATR_D1,base,5.460260217301509,-0.38307063523683077,0.07240216294946417
NFP_2020-12-04,NFP,2020,2020-22,S1_ATR_D1,base,4.347022544628953,0.5950700332106362,-1.2895532729468286
CPI_2020-12-10,CPI,2020,2020-22,S1_ATR_D1,base,4.723977693022952,0.2810467017998347,-0.7047750574514953
NFP_2021-01-08,NFP,2021,2020-22,S1_ATR_D1,base,4.4242940238620845,-0.33834505390608804,-1.1116887741803312
CPI_2021-01-13,CPI,2021,2020-22,S1_ATR_D1,base,5.093307214696567,0.36246036655181524,-0.7639197550803845
NFP_2021-02-05,NFP,2021,2020-22,S1_ATR_D1,base,4.4584189918482995,0.9637453339078789,-1.2461187497535908
CPI_2021-02-10,CPI,2021,2020-22,S1_ATR_D1,base,4.276419162588507,0.6279176334002164,-1.1276399287952685
NFP_2021-03-05,NFP,2021,2020-22,S1_ATR_D1,base,5.1982893677305535,-1.3040020900105147,0.7907254693277213
CPI_2021-03-10,CPI,2021,2020-22,S1_ATR_D1,base,5.484636842505996,0.3498394707064927,-1.083163337991498
CPI_2021-04-13,CPI,2021,2020-22,S1_ATR_D1,base,3.5787954509271906,-1.2145873407975338,-0.1348944516723047
NFP_2021-05-07,NFP,2021,2020-22,S1_ATR_D1,base,3.5948542593912856,2.3253111939552027,-1.6093406665613792
CPI_2021-05-12,CPI,2021,2020-22,S1_ATR_D1,base,3.687642331572859,-1.5520586015073652,2.895634131481955
NFP_2021-06-04,NFP,2021,2020-22,S1_ATR_D1,base,3.564351752509755,2.4536113737489416,-1.332911656840421
CPI_2021-06-10,CPI,2021,2020-22,S1_ATR_D1,base,3.4899759348602952,-1.3732494405271252,0.7963930273093259
NFP_2021-07-02,NFP,2021,2020-22,S1_ATR_D1,base,4.396814080067914,-1.242642183750389,0.5395573492076213
CPI_2021-07-13,CPI,2021,2020-22,S1_ATR_D1,base,3.0777767779477427,-2.3641729160267553,2.4436806313858286
NFP_2021-08-06,NFP,2021,2020-22,S1_ATR_D1,base,2.917800127824418,-1.252972390101982,2.582965477357605
CPI_2021-08-11,CPI,2021,2020-22,S1_ATR_D1,base,4.063686096440524,0.40920889570101326,-1.3078282558918446
NFP_2021-09-03,NFP,2021,2020-22,S1_ATR_D1,base,2.852388170934007,2.631335235674588,-3.059334837005272
CPI_2021-09-14,CPI,2021,2020-22,S1_ATR_D1,base,3.0881480917474673,-1.1901860243757445,-2.52043311031615
NFP_2021-10-08,NFP,2021,2020-22,S1_ATR_D1,base,3.792889824114515,1.4003381976011262,-1.5347589226003941
CPI_2021-10-13,CPI,2021,2020-22,S1_ATR_D1,base,3.629071519380168,-0.07385518542926281,-0.4334512950763256
NFP_2021-11-05,NFP,2021,2020-22,S1_ATR_D1,base,3.3875664214006687,-1.284451213269762,-1.4568463569665648
CPI_2021-11-10,CPI,2021,2020-22,S1_ATR_D1,base,3.448502216161712,-1.249180435439893,0.8392624735562619
NFP_2021-12-03,NFP,2021,2020-22,S1_ATR_D1,base,3.975720281398309,1.9840895590435006,-2.662615614465826
CPI_2021-12-10,CPI,2021,2020-22,S1_ATR_D1,base,3.7040818445479635,-0.032913554590922746,-1.1383156952122533
NFP_2022-01-07,NFP,2022,2020-22,S1_ATR_D1,base,3.0029048907839475,0.871998646389523,-1.2977337417377584
CPI_2022-01-12,CPI,2022,2020-22,S1_ATR_D1,base,3.0196212797670574,-1.3700372055661842,0.13296584664130354
NFP_2022-02-04,NFP,2022,2020-22,S1_ATR_D1,base,3.1051875027399176,-2.0970840067642693,1.6592108996490393
CPI_2022-02-10,CPI,2022,2020-22,S1_ATR_D1,base,3.010991977517665,-1.258084886404471,1.5399962984366466
NFP_2022-03-04,NFP,2022,2020-22,S1_ATR_D1,base,5.466166905472209,0.027918283989298465,-0.3617514858575621
CPI_2022-03-10,CPI,2022,2020-22,S1_ATR_D1,base,7.096758935596319,0.05196386172146724,-0.33779152170095567
NFP_2022-04-01,NFP,2022,2020-22,S1_ATR_D1,base,5.137145915963508,-0.4183273426830093,0.009147374976054359
CPI_2022-04-12,CPI,2022,2020-22,S1_ATR_D1,base,4.303587620873675,0.8417097824220671,-1.2012368877831212
NFP_2022-05-06,NFP,2022,2020-22,S1_ATR_D1,base,4.723885401020276,0.5691437813921869,-1.1381372627791915
CPI_2022-05-11,CPI,2022,2020-22,S1_ATR_D1,base,4.787613028862006,-1.308174900987983,0.9311455986783805
NFP_2022-06-03,NFP,2022,2020-22,S1_ATR_D1,base,3.6651461559227245,-1.2363267403886649,-0.6418074750439763
CPI_2022-06-10,CPI,2022,2020-22,S1_ATR_D1,base,3.1652119139746246,-1.2592621468415246,0.5777396584178773
NFP_2022-07-08,NFP,2022,2020-22,S1_ATR_D1,base,3.504742655287066,-1.9606572938056515,1.5473035493259768
CPI_2022-07-13,CPI,2022,2020-22,S1_ATR_D1,base,3.5373794147302657,-1.3412152030521967,0.7001264664138284
NFP_2022-08-05,NFP,2022,2020-22,S1_ATR_D1,base,3.6782862298024637,-1.5986689677263861,2.316197657749263
CPI_2022-08-10,CPI,2022,2020-22,S1_ATR_D1,base,3.8320908522474153,-1.461940678341246,-1.1268755534507244
NFP_2022-09-02,NFP,2022,2020-22,S1_ATR_D1,base,3.1933148287867987,1.4945201321765471,-3.470853108527061
CPI_2022-09-13,CPI,2022,2020-22,S1_ATR_D1,base,3.372592043967907,-1.7056857085010653,3.574822508273244
NFP_2022-10-07,NFP,2022,2020-22,S1_ATR_D1,base,4.598841273906512,-1.4902755589514152,0.7531156314638054
CPI_2022-10-13,CPI,2022,2020-22,S1_ATR_D1,base,4.542197057269488,-1.293453383004858,3.307403809343069
NFP_2022-11-04,NFP,2022,2020-22,S1_ATR_D1,base,4.044004826871734,-1.451161707573828,0.3129311423149212
CPI_2022-11-10,CPI,2022,2020-22,S1_ATR_D1,base,4.634846691447061,4.44347071673477,-3.044263465291566
NFP_2022-12-02,NFP,2022,2020-22,S1_ATR_D1,base,3.2882832995313818,-2.0584331955110136,2.995723787364667
CPI_2022-12-13,CPI,2022,2020-22,S1_ATR_D1,base,3.5876093371819078,4.451485543446785,-2.287542518898239
NFP_2023-01-06,NFP,2023,2023-24,S1_ATR_D1,base,3.8902463504281166,0.1849276460141975,-1.4882311757358646
CPI_2023-01-12,CPI,2023,2023-24,S1_ATR_D1,base,3.691956982697553,-1.3226004861065852,0.8175923809909921
NFP_2023-02-03,NFP,2023,2023-24,S1_ATR_D1,base,4.234530129877915,-1.6715724963336114,2.0611911197457076
CPI_2023-02-14,CPI,2023,2023-24,S1_ATR_D1,base,4.454508118235282,-1.988875677144356,1.5684194448763502
NFP_2023-03-10,NFP,2023,2023-24,S1_ATR_D1,base,3.0466282270475467,1.926475996609467,-2.5640620606901505
