event_id,family,year,era,entry,stop,cost,stop_usd,rl,rs
NFP_2022-07-08,NFP,2022,2020-22,m60,10.0,base,10.0,-0.7447099250000292,0.5422900749999826
CPI_2022-07-13,CPI,2022,2020-22,m60,10.0,base,10.0,-0.41323870499998067,0.24766129500001172
NFP_2022-08-05,NFP,2022,2020-22,m60,10.0,base,10.0,-1.0742362050000338,0.8519637949999833
CPI_2022-08-10,CPI,2022,2020-22,m60,10.0,base,10.0,1.1229710500000238,-1.0992289499999743
NFP_2022-09-02,NFP,2022,2020-22,m60,10.0,base,10.0,0.47724732999997743,-1.018552670000031
CPI_2022-09-13,CPI,2022,2020-22,m60,10.0,base,10.0,-1.055258205000041,1.205641794999974
NFP_2022-10-07,NFP,2022,2020-22,m60,10.0,base,10.0,-0.5291540750000194,0.34634592499999145
CPI_2022-10-13,CPI,2022,2020-22,m60,10.0,base,10.0,-1.058212014999981,1.5022879849999982
NFP_2022-11-04,NFP,2022,2020-22,m60,10.0,base,10.0,-0.3173504949999824,0.12654950500000267
CPI_2022-11-10,CPI,2022,2020-22,m60,10.0,base,10.0,2.059480555000005,-1.1198694449999493
NFP_2022-12-02,NFP,2022,2020-22,m60,10.0,base,10.0,-1.1004711499999758,0.9850788500000135
CPI_2022-12-13,CPI,2022,2020-22,m60,10.0,base,10.0,1.5970191099999966,-1.7916808900000205
NFP_2023-01-06,NFP,2023,2023-24,m60,10.0,base,10.0,0.07194140999999946,-0.34025858999998493
CPI_2023-01-12,CPI,2023,2023-24,m60,10.0,base,10.0,-2.0804984100000636,0.3018515900000011
NFP_2023-02-03,NFP,2023,2023-24,m60,10.0,base,10.0,-1.490932410000005,0.8728175899999997
CPI_2023-02-14,CPI,2023,2023-24,m60,10.0,base,10.0,-1.1074462850000146,0.6986537149999776
NFP_2023-03-10,NFP,2023,2023-24,m60,10.0,base,10.0,0.5869256149999955,-0.8073743850000028
CPI_2023-03-14,CPI,2023,2023-24,m60,10.0,base,10.0,0.19438098000000537,-0.3823190199999772
CPI_2023-04-12,CPI,2023,2023-24,m60,10.0,base,10.0,1.064131445000021,-1.1816185550000227
NFP_2023-05-05,NFP,2023,2023-24,m60,10.0,base,10.0,-1.060687165000013,0.7840628350000088
CPI_2023-05-10,CPI,2023,2023-24,m60,10.0,base,10.0,1.099186104999967,-1.071413895000046
NFP_2023-06-02,NFP,2023,2023-24,m60,10.0,base,10.0,-0.3976357000000007,0.15066429999997127
CPI_2023-06-13,CPI,2023,2023-24,m60,10.0,base,10.0,-1.262291550000009,-1.095691550000015
NFP_2023-07-07,NFP,2023,2023-24,m60,10.0,base,10.0,0.4463962049999964,-1.2209037950000265
CPI_2023-07-12,CPI,2023,2023-24,m60,10.0,base,10.0,0.8686011149999786,-1.0897988850000275
NFP_2023-08-04,NFP,2023,2023-24,m60,10.0,base,10.0,0.20312496499996086,-0.4371750350000184
CPI_2023-08-10,CPI,2023,2023-24,m60,10.0,base,10.0,0.5368297350000149,-0.7442702650000002
NFP_2023-09-01,NFP,2023,2023-24,m60,10.0,base,10.0,0.469889749999993,-0.643010250000043
CPI_2023-09-13,CPI,2023,2023-24,m60,10.0,base,10.0,-0.44162009999997737,0.26537990000001627
NFP_2023-10-06,NFP,2023,2023-24,m60,10.0,base,10.0,-0.5600978349999878,0.3749021650000259
CPI_2023-10-12,CPI,2023,2023-24,m60,10.0,base,10.0,-0.2488908450000281,0.07100915500000156
NFP_2023-11-03,NFP,2023,2023-24,m60,10.0,base,10.0,0.500545454999974,-0.6825545450000163
CPI_2023-11-14,CPI,2023,2023-24,m60,10.0,base,10.0,0.9804956000000175,-1.0530543999999735
